name,age,team,minutes_played,PER,TS,WS,BPM,VORP,PPG,AST,TRB,BLK,STL,G,MP,mvp_label,year
Buck Williams,24.0,NJN,3182.0,16.7,0.562,7.7,-0.3,1.4,18.2,2.0,12.3,1.3,0.8,82.0,38.8,0,1985
Larry Bird,28.0,BOS,3161.0,26.5,0.585,15.7,8.8,8.7,28.7,6.6,10.5,1.2,1.6,80.0,39.5,1,1985
Michael Jordan,21.0,CHI,3144.0,25.8,0.592,14.0,7.3,7.4,28.2,5.9,6.5,0.8,2.4,82.0,38.3,0,1985
Michael Ray Richardson,29.0,NJN,3127.0,19.8,0.513,8.7,4.1,4.8,20.1,8.2,5.6,0.3,3.0,82.0,38.1,0,1985
Isiah Thomas,23.0,DET,3089.0,22.2,0.529,11.2,6.3,6.5,21.2,13.9,4.5,0.3,2.3,81.0,38.1,0,1985
Ralph Sampson,24.0,HOU,3086.0,17.4,0.533,6.2,0.4,1.8,22.1,2.7,10.4,2.0,1.0,82.0,37.6,0,1985
Purvis Short,27.0,GSW,3081.0,18.9,0.533,6.2,0.6,2.0,28.0,3.0,5.1,0.3,1.5,78.0,39.5,0,1985
Eddie Johnson,25.0,KCK,3029.0,16.2,0.542,5.3,-0.6,1.1,22.9,3.3,5.0,0.3,1.0,82.0,36.9,0,1985
Dominique Wilkins,25.0,ATL,3023.0,20.9,0.514,7.6,2.2,3.2,27.4,2.5,6.9,0.7,1.7,81.0,37.3,0,1985
Rodney McCray,23.0,HOU,3001.0,15.5,0.576,8.5,2.7,3.6,14.4,4.3,6.6,0.9,1.1,82.0,36.6,0,1985
Dennis Johnson,30.0,BOS,2976.0,14.4,0.522,6.4,0.3,1.8,15.7,6.8,4.0,0.5,1.2,80.0,37.2,0,1985
Gus Williams,31.0,WSB,2960.0,17.3,0.482,5.1,2.1,3.1,20.0,7.7,2.5,0.4,2.3,79.0,37.5,0,1985
Moses Malone,29.0,PHI,2957.0,22.5,0.577,11.9,1.6,2.7,24.6,1.6,13.1,1.6,0.8,79.0,37.4,0,1985
Alex English,31.0,DEN,2924.0,21.6,0.561,8.9,2.7,3.5,27.9,4.2,5.7,0.6,1.2,81.0,36.1,0,1985
Tom Chambers,25.0,SEA,2923.0,16.5,0.56,5.9,-0.6,1.0,21.5,2.6,7.1,0.7,0.9,81.0,36.1,0,1985
Hakeem Olajuwon,22.0,HOU,2914.0,21.1,0.564,10.2,2.1,3.0,20.6,1.4,11.9,2.7,1.2,82.0,35.5,0,1985
Norm Nixon,29.0,LAC,2894.0,15.6,0.507,3.7,-0.6,1.1,17.2,8.8,2.7,0.0,1.2,81.0,35.7,0,1985
Bill Laimbeer,27.0,DET,2892.0,18.0,0.548,9.8,1.3,2.4,17.5,1.9,12.4,0.9,0.8,82.0,35.3,0,1985
Paul Pressey,26.0,MIL,2876.0,17.6,0.577,9.6,4.2,4.5,16.1,6.8,5.4,0.7,1.6,80.0,36.0,0,1985
Sleepy Floyd,24.0,GSW,2873.0,15.4,0.514,3.1,-0.4,1.1,19.5,5.0,2.5,0.5,1.6,82.0,35.0,0,1985
Mike Mitchell,29.0,SAS,2853.0,16.5,0.533,6.0,-1.1,0.6,22.2,1.8,5.1,0.3,0.7,82.0,34.8,0,1985
Robert Parish,31.0,BOS,2850.0,17.6,0.586,9.0,0.8,2.0,17.6,1.6,10.6,1.3,0.7,79.0,36.1,0,1985
Rolando Blackman,25.0,DAL,2834.0,17.7,0.566,7.3,0.9,2.0,19.7,3.6,3.7,0.2,0.8,81.0,35.0,0,1985
Orlando Woolridge,25.0,CHI,2816.0,19.5,0.608,9.0,1.5,2.5,22.9,1.8,5.6,0.5,0.8,77.0,36.6,0,1985
Mark Eaton,28.0,UTA,2813.0,13.6,0.502,5.4,1.2,2.3,9.7,1.5,11.3,5.6,0.4,82.0,34.3,0,1985
Magic Johnson,25.0,LAL,2781.0,23.2,0.637,12.7,6.7,6.1,18.3,12.6,6.2,0.3,1.5,77.0,36.1,0,1985
Darrell Griffith,26.0,UTA,2776.0,15.6,0.512,3.5,0.0,1.4,22.6,3.1,4.4,0.4,1.7,78.0,35.6,0,1985
Derek Smith,23.0,LAC,2762.0,19.1,0.592,8.0,1.4,2.4,22.1,2.7,5.3,0.7,1.0,80.0,34.5,0,1985
Artis Gilmore,35.0,SAS,2756.0,20.3,0.68,10.5,2.2,2.9,19.1,1.6,10.4,2.1,0.5,81.0,34.0,0,1985
Sidney Moncrief,27.0,MIL,2734.0,20.1,0.565,11.2,4.8,4.7,21.7,5.2,5.4,0.5,1.6,73.0,37.5,0,1985
